Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
01-01-2004,648.5,650,640.1,646.25,647.1523805,23566,602,15250793,12373,52.5,9.9,-2.25
02-01-2004,647,659,642,652.5,647.3434969,41357,1298,26772185,25290,61.15,17,5.5
05-01-2004,650,664,641,657.35,651.9457993,58228,1297,37961500,32734,56.22,23,7.35
06-01-2004,657,674.95,646.05,649.85,660.7547781,64880,1405,42869770,36599,56.41,28.9,-7.15
07-01-2004,650,650,633,636.45,641.3145278,665814,909,426996191,27562,4.14,17,-13.55
08-01-2004,638,650,630,646.05,640.2810442,144536,1163,92543661,131261,90.82,20,8.05
09-01-2004,660,660,623.05,647.25,638.693806,163821,2107,104631458,113330,69.18,36.95,-12.75
12-01-2004,654.9,654.9,626.3,631.9,637.3906315,45685,985,29119191,26680,58.4,28.6,-23
13-01-2004,616.25,647,613.6,645.6,634.2089796,395273,1100,250685686,375623,95.03,33.4,29.35
14-01-2004,645,648.95,635.05,644.3,638.4334652,271076,1162,173063990,257333,94.93,13.9,-0.7
15-01-2004,646.5,649.95,637,644.95,641.2066412,267120,2212,171279118,215163,80.55,12.95,-1.55
16-01-2004,640.05,647.95,633,643.9,639.9253372,169991,2300,108781548,121224,71.31,14.95,3.85
19-01-2004,637,679.95,632.4,671.9,659.632039,196779,1906,129801733,168466,85.61,47.55,34.9
20-01-2004,670,682,645.25,651.45,671.4889707,296711,3485,199238164,228110,76.88,36.75,-18.55
21-01-2004,650,651.95,606.15,626.1,624.7282297,183725,3084,114778194,108459,59.03,45.8,-23.9
22-01-2004,640,640,605.3,623.4,626.5447617,90010,1543,56395294,50712,56.34,34.7,-16.6
23-01-2004,610.3,635,610.3,630.05,629.7364472,33056,937,20816568,15666,47.39,24.7,19.75
27-01-2004,640,643.95,612,620.55,619.6358452,71195,1562,44114974,44763,62.87,31.95,-19.45
28-01-2004,625,672,625,654.65,655.4931791,229369,3625,150349815,168954,73.66,47,29.65
29-01-2004,656,665,645,650.15,654.6280287,171524,1505,112284418,129279,75.37,20,-5.85
30-01-2004,649.9,655.5,639,649.8,648.6436112,73793,1142,47865358,31857,43.17,16.5,-0.1
03-02-2004,642.5,661,637,650.65,651.2439124,162337,2940,105720983,101556,62.56,24,8.15
04-02-2004,643,663,642.05,649.8,650.4608436,75058,1307,48822290,42330,56.4,20.95,6.8
05-02-2004,651.95,660,640,648.95,650.4618897,52348,965,34050379,31204,59.61,20,-3
06-02-2004,654.95,654.95,641.05,645.05,649.5601626,69146,706,44914487,40256,58.22,13.9,-9.9
09-02-2004,646.5,665,646.5,658.55,658.0262232,28410,818,18694525,14406,50.71,18.5,12.05
10-02-2004,660,679.7,660,667.5,671.2662873,94015,2006,63109100,45846,48.76,19.7,7.5
11-02-2004,669.7,681.9,668.15,676.8,677.7000771,54484,1461,36923811,27400,50.29,13.75,7.1
12-02-2004,660,683.85,660,675.3,675.0841966,127903,888,86345294,104447,81.66,23.85,15.3
13-02-2004,671,675,671,673.45,673.8220158,65253,851,43968908,48182,73.84,4,2.45
16-02-2004,677,677,656.15,659.5,663.194659,29133,758,19320850,16131,55.37,20.85,-17.5
17-02-2004,660,669.9,635.3,661.45,657.3372586,51462,1198,33827890,25635,49.81,34.6,1.45
18-02-2004,664.8,679,660,671,667.894779,99809,1363,66661910,74844,74.99,19,6.2
19-02-2004,674,679.9,670.1,676.45,675.895084,129332,1923,87414863,80197,62.01,9.8,2.45
20-02-2004,672,672.05,645,651.65,654.3390847,53031,1308,34700256,23804,44.89,27.05,-20.35
23-02-2004,655,655,637.05,643.2,646.4560867,59162,1120,38245635,22539,38.1,17.95,-11.8
24-02-2004,643,646,615,618.65,623.0703652,76174,1586,47461762,41055,53.9,31,-24.35
25-02-2004,635,635,609.9,618.8,618.2858394,70767,1562,43754234,39306,55.54,25.1,-16.2
26-02-2004,624,626,616.05,624.45,623.3688873,83188,1491,51856811,41147,49.46,9.95,0.45
27-02-2004,612.05,627.5,605,609.9,610.5886357,134720,1934,82258501,99138,73.59,22.5,-2.15
01-03-2004,619,650,617.1,640,634.4527739,116694,1795,74036832,71851,61.57,32.9,21
03-03-2004,635.25,650,632,635.5,643.6914477,165651,2442,106628132,107923,65.15,18,0.25
04-03-2004,643,645,632.05,637.05,639.2337309,12493,380,7985947,2895,23.17,12.95,-5.95
05-03-2004,633,643,633,639.75,639.1355149,26617,645,17011870,16228,60.97,10,6.75
08-03-2004,640,642.9,635,636.4,638.2653277,47202,865,30127400,16339,34.62,7.9,-3.6
09-03-2004,636,639.65,617.1,627.05,624.507879,74185,1163,46329117,52230,70.41,22.55,-8.95
10-03-2004,627,636,611.25,628.05,623.0570144,93187,1772,58060814,54930,58.95,24.75,1.05
11-03-2004,628,630,612,613.9,618.4581471,49447,1041,30580900,35848,72.5,18,-14.1
12-03-2004,619.25,635,611,622.2,618.7424877,45392,760,28085959,29792,65.63,24,2.95
15-03-2004,627,627,609,613.55,614.7460147,27978,782,17199364,12245,43.77,18,-13.45
